id;festival;categoria;año;premiado_a;pelicula
247;Premios Razzie ; Peor guion: ;1991; Heywood Gould ; Las aventuras de Ford Fairlane 
248;Premios Razzie ; Peor guion: ;1990; Jonathan Reynolds, Bill Cosby ; Noches de Harlem 
249;Premios Razzie ; Peor guion: ;1989; Willard Huyck, Gloria Katz ; Cocktail 
250;Premios Razzie ; Peor guion: ;1988; Sylvester Stallone, James Cameron, Kevin Jarre ; Leonard Part 6 
251;Premios Razzie ; Peor guion: ;1987; John Derek ; Howard, un nuevo héroe 
252;Premios Razzie ; Peor guion: ;1986; Ellen Shepard, John Kershaw, Shawn Randall ; Rambo: Acorralado Parte II (Rambo 2) 
253;Premios Razzie ; Peor guion: ;1985; Robin Moore, Laird Koenig ; Bolero 
254;Premios Razzie ; Peor guion: ;1984; Frank Yablans, Frank Perry, Tracy Hotchner, Robert Getchell ; The Lonely Lady 
255;Premios Razzie ; Peor guion: ;1983; Bronte Woodard, Allan Carr ; Inchon 
256;Premios Razzie ; Peor pareja en pantalla: ;2023; Tom Hanks y su cara de látex (y terrible acento) ; Elvis 
257;Premios Razzie ; Peor pareja en pantalla: ;2022; LeBron James (y cualquier personaje animado) ; Space Jam: Nuevas leyendas 
258;Premios Razzie ; Peor pareja en pantalla: ;2021; Donald Trump (y su perpetua mezquindad) ; Fahrenheit 11/9 
259;Premios Razzie ; Peor pareja en pantalla: ;2020; Donald Trump  y su perpetua mezquindad ; Death of a Nation 
260;Premios Razzie ; Peor pareja en pantalla: ;2019; Kirk Cameron  y su Ego ; Saving Christmas 
261;Premios Razzie ; Peor pareja en pantalla: ;2018; Jaden Smith, Will Smith ; After Earth 
262;Premios Razzie ; Peor pareja en pantalla: ;2017; Mackenzie Foy, Taylor Lautner ; La saga Crepúsculo: Amanecer - Parte 2 
263;Premios Razzie ; Peor pareja en pantalla: ;2016; Adam Sandler, Katie Holmes, Al Pacino ; Jack y su gemela (Jack y Jill) 
264;Premios Razzie ; Peor película: ;2023; Andrew Dominik; Blonde 
265;Premios Razzie ; Peor película: ;2022; Ana de Armas; Lady Di: El musical 
266;Premios Razzie ; Peor película: ;2021; Adrien Brody; Absolute Proof 
267;Premios Razzie ; Peor película: ;2020; Bobby Cannavale; Cats 
268;Premios Razzie ; Peor película: ;2019; Christopher Ashley; Holmes & Watson 
269;Premios Razzie ; Peor película: ;2018; Jeanna de Waal; Emoji: La película 
270;Premios Razzie ; Peor película: ;2017; Erin Davie; Hillary's America: The Secret History of the Democratic Party 
271;Premios Razzie ; Peor película: ;2016; Roe Hartrampf; Cincuenta sombras de Grey 
272;Premios Razzie ; Peor película: ;2015; Brannon Howse; Cuatro Fantásticos 
273;Premios Razzie ; Peor película: ;2014; Mike Lindell; Saving Christmas 
274;Premios Razzie ; Peor película: ;2013; Mike Lindell; Movie 43 
275;Premios Razzie ; Peor película: ;2012; Phil Waldron; La saga Crepúsculo: Amanecer - Parte 2 
276;Premios Razzie ; Peor película: ;2011; Tom Hooper; Jack y su gemela (Jack y Jill) 
277;Premios Razzie ; Peor película: ;2010; Francesca Hayward; Airbender, el último guerrero 
278;Premios Razzie ; Peor película: ;2009; Jennifer Hudson; Transformers: La venganza de los caídos 
279;Premios Razzie ; Peor película: ;2008; Judi Dench; El gurú del buen rollo (The Love Guru) 
280;Premios Razzie ; Peor película: ;2007; Etan Cohen; Sé quién me mató 
281;Premios Razzie ; Peor película: ;2006; Will Ferrell; Instinto Básico 2: adicción al riesgo 
282;Premios Razzie ; Peor película: ;2005; John C. Reilly; Supersalidas 
283;Premios Razzie ; Peor película: ;2004; Lauren Lapkus; Catwoman 
284;Premios Razzie ; Peor película: ;2003; Anthony Leondis; Una relación peligrosa (Gigli) 
285;Premios Razzie ; Peor película: ;2002; Dinesh D'Souza; Barridos por la marea 
