id;festival;categoria;año;premiado_a
258;Festival de Venecia ; León de Oro - Mejor película: ;2014; Una paloma se posó en una rama a reflexionar sobre la existencia 
259;Festival de Venecia ; León de Oro - Mejor película: ;2013; Sacro GRA 
260;Festival de Venecia ; León de Oro - Mejor película: ;2012; Pietà (Piedad) 
261;Festival de Venecia ; León de Oro - Mejor película: ;2011; Fausto 
262;Festival de Venecia ; León de Oro - Mejor película: ;2010; Somewhere 
263;Festival de Venecia ; León de Oro - Mejor película: ;2009; Líbano 
264;Festival de Venecia ; León de Oro - Mejor película: ;2008; El luchador 
265;Festival de Venecia ; León de Oro - Mejor película: ;2007; Deseo, peligro 
266;Festival de Venecia ; León de Oro - Mejor película: ;2006; Naturaleza muerta 
267;Festival de Venecia ; León de Oro - Mejor película: ;2005; Brokeback Mountain (En terreno vedado) 
268;Festival de Venecia ; León de Oro - Mejor película: ;2004; El secreto de Vera Drake 
269;Festival de Venecia ; León de Oro - Mejor película: ;2003; El regreso 
270;Festival de Venecia ; León de Oro - Mejor película: ;2002; Las hermanas de la Magdalena 
271;Festival de Venecia ; León de Oro - Mejor película: ;2001; La boda del Monzón 
272;Festival de Venecia ; León de Oro - Mejor película: ;2000; El círculo 
273;Festival de Venecia ; León de Oro - Mejor película: ;1999; Ni uno menos 
274;Festival de Venecia ; León de Oro - Mejor película: ;1998; Así reían 
275;Festival de Venecia ; León de Oro - Mejor película: ;1997; Hana-Bi. Flores de fuego 
276;Festival de Venecia ; León de Oro - Mejor película: ;1996; Michael Collins 
277;Festival de Venecia ; León de Oro - Mejor película: ;1995; Cyclo 
278;Festival de Venecia ; León de Oro - Mejor película: ;1994; Antes de la lluvia 
279;Festival de Venecia ; León de Oro - Mejor película: ;1993; Viva el amor 
280;Festival de Venecia ; León de Oro - Mejor película: ;1992; Tres colores: Azul 
281;Festival de Venecia ; León de Oro - Mejor película: ;1991; Vidas cruzadas (Short Cuts) 
282;Festival de Venecia ; León de Oro - Mejor película: ;1990; Qiu Ju, una mujer china 
283;Festival de Venecia ; León de Oro - Mejor película: ;1989; Urga, el territorio del amor 
284;Festival de Venecia ; León de Oro - Mejor película: ;1988; Rosencrantz y Guildenstern han muerto 
285;Festival de Venecia ; León de Oro - Mejor película: ;1987; Ciudad doliente (A City of Sadness) 
286;Festival de Venecia ; León de Oro - Mejor película: ;1986; La leyenda del santo bebedor 
287;Festival de Venecia ; León de Oro - Mejor película: ;1985; Adiós, muchachos 
288;Festival de Venecia ; León de Oro - Mejor película: ;1984; El rayo verde 
289;Festival de Venecia ; León de Oro - Mejor película: ;1983; Sin techo ni ley 
290;Festival de Venecia ; León de Oro - Mejor película: ;1982; El año del sol tranquilo 
291;Festival de Venecia ; León de Oro - Mejor película: ;1981; Nombre: Carmen 
292;Festival de Venecia ; León de Oro - Mejor película: ;1980; El estado de las cosas 
293;Festival de Venecia ; León de Oro - Mejor película: ;1979; Las hermanas alemanas 
294;Festival de Venecia ; León de Oro - Mejor película: ;1978; Atlantic City 
295;Festival de Venecia ; León de Oro - Mejor película: ;1977; Gloria 
296;Festival de Venecia ; León de Oro - Mejor película: ;1976; Artistas bajo la lona del circo: perplejos 
297;Festival de Venecia ; León de Oro - Mejor película: ;1975; Bella de día (Belle de jour) 
298;Festival de Venecia ; León de Oro - Mejor película: ;1974; La batalla de Argel 
